"%s: Bad command line argument(s)\n";"%s: Yanlış komut satırı parametresi\n"
"The Asar Battlefield";""
"The Fishermen";""
"The Garnet Star";""
"The One Behind";""
"The Runner";""
"The Seven";"Yedili"
"The Ski Runners";""
"Thebe";""
"Three Stars";"Üç Yıldız"
"Three Steps";"Üç Adım"
"Thuban";""
"Thunder and Lightning";"Gökgürültüsü ve Şimşek"
"Thunderbird";"Yıldırım"
"Thunderbolt";"Yıldırım"
"Time Display Format: ";"Zaman Gösterim Biçimi: "
"Time Zone :";"Zaman Dilimi :"
"Time and Date:";""
"Time speed : ";"Zaman akış hızı : "
"Titania";""
"Toad";""
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"Tuvalet"
"Track Selected Object";""
"Triangle";"Üçgen"
"Triangulum";"Üçgen"
"Triangulum Australe";"Güney Üçgeni"
"Trinculo";""
"Tripod";"Üç Ayak"
"Triton";""
"Tropic Lines";""
"Truncated Projection";""
"Try `%s --help' for more information.\n";"Daha fazla bilgi için `%s --help' yazın.\n"
"Tucana";"Tukan"
"Turtle";"Kaplumbağa"
"Twinkling: ";"Pırıldama: "
"Two Jaws";"İki Çene"
"Two Placed Far Apart";""
"Two Poles";"Kutuplar"
"Two Sunbeams";"İki Güneş Işını"
"Two in Front";"Karşıda İki Kişi"
"Type: ";"Türü: "
"USB Script: ";""
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"İnternet aracılığı ile güncelle: "
"Uranus";"Uranüs"
"Ursa Major";"Büyük Ayı"
"Ursa Minor";"Küçük Ayı"
"Using System Default Time Zone";"Öntanımlı Sistem Saat Dilimi Kullanılıyor"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"Yelken"
"Venus";"Venüs"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"Başak"
"Vishakha";""
"Voice of Joy";"Neşeli Ses"
"Volans";"Uçan Balık"
"Vulpecula";"Tilki"
"W";"B"
"Wall";"Duvar"
"Wasat";""
"Wazn";""
