"%s: Bad command line argument(s)\n";"%s: 명령어의 인자값이 잘못되었습니다.\n"
"Good Gourd";"과"
"Great General";"천장군"
"Ground";"지면"
"Grumium";""
"Grus";"두루미"
"Guide star";""
"H II LMC";""
"Hadar";""
"Halimede";""
"Hamal";""
"Hand";""
"Hasta";""
"Hawaiki";""
"Heading: ";""
"Heart";"심"
"Help";"도움말"
"Hercules";"헤라클레스"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Himalia";""
"Hindu";""
"Hippopotamus";"하마"
"Hit CTRL-R again to stop.\n";"멈추려면 CTRL-R 키를 치세요.\n"
"Hoku'ula";""
"Hokule'a";""
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";""
"Hook";"구"
"Horn";"각"
"Horologium";"시계"
"Horus";"호루스"
"Hour";"시"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydra";"바다뱀"
"Hydrus";"물뱀"
"Hyperion";"하이페리온"
"IC434 & Horse Head Nebula";""
"Iapetus";"라페투스"
"Imperial Guards";"거기"
"Imperial Passageway";"연도"
"Increase Time Rate";""
"Indus";"인디언"
"Info: ";"정보: "
"Information";"정보"
"Interacting Galaxies";""
"Internal Script: ";""
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"실효성이 없는 스크립트 명령어"
"Io";"이오"
"Izar";""
"JAN";"1월"
"JUL";"7월"
"JUN";"6월"
"Jade Well";"옥정"
"Jaw";"턱"
"Juliet";""
"Jupiter";"목성"
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Kenemet";"케네메트"
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"카누위 물고기"
"Kitalpha";""
"Kitchen";"천주"
"Kite of Kawelo";"Kawelo의 연"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"도마뱀"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";""
"Lance";"경하"
"Landscape: ";"경치: "
"Landscapes";"경치"
"Language";"언어"
"Laomedeia";""
"Larissa";""
"Latitude : ";"위도 : "
"Latitude: ";"위도 "
"Leda";""
"Left Click";""
"Left Flag";"좌기"
"Legs";"규"
"Lehua-Kona";""
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"사자"
"Leo Minor";"작은사자"
"Lepus";"토끼"
"Lesath";""
"Libra";"천칭"
"Light Pollution Limiting Magnitude: ";""
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"사자"
"Little Ghost Nebula";""
"Lizard";""
"Load Default Configuration";""
"Load Default Configuration: ";"기본설정 불러오기: "
"Loading NGC catalog: ";"NGC 목록을 불러옵니다: "
"Loading Nebula Textures:";"성운의 색조를 불러옵니다:"
"Loading Solar System:";"태양계 천체: "
"Loading catalog ";"NGC 목록을 불러옵니다: "
"Local Script: ";"로컬 스크립트: "
"Location";"위치"
"Longitude : ";"경도 : "
"Longitude: ";"경도 "
"Lubhdak";""
"Lupus";"이리"
"Luyten's Star";""
"Lynx";"살쾡이"
"Lyra";"거문고"
"Lysithea";""
"M1";""
"M10";""
"M100";""
"M101";""
"M104 Sombrero Galaxy";""
"M105";""
"M106";""
"M108";""
"M109";""
"M11";""
"M12";""
"M13";""
"M15";""
"M16";""
"M17";""
"M2";""
"M20";""
"M22";""
"M27";""
"M3";""
"M31";""
"M33";""
"M34";""
"M36";""
"M37";""
"M38";""
"M4";""
"M42/M43";""
"M44";""
"M45";""
"M46";""
"M49";""
"M5";""
"M51";""
"M53";""
"M54";""
"M58";""
"M59";""
"M6";""
"M60";""
"M61";""
"M63";""
"M64 Black Eye Galaxy";""
"M65";""
"M66";""
"M7";""
"M74";""
"M76";""
"M78";""
"M8";""
"M81";""
"M82";""
"M83";""
"M84";""
"M85";""
"M86";""
"M87";""
"M89";""
"M9";""
"M90";""
"M91";""
"M92";""
"M94";""
"M95";""
"M96";""
"M97";""
"M98";""
"M99";""
"MAR";"3월"
"MAY";"5월"
"Maasym";""
"Mab";""
"Magha";""
"Magnitude";"등급"
"Magnitude Scaling Multiplier: ";""
"Magnitude: ";"등급: "
"Maia";""
"Mama Llama";""
"Man with Feet Apart";""
"Man's Cart";""
"Manual zoom: ";"수동 확대: "
"Marfik";""
"Margaret";""
"Marichi";""
"Markab";""
"Market";"천시"
"Market Officer";"천변"
"Mars";"화성"
"Marsic";""
"Matar";""
"Maui's Fishhook";"마우이의 낚시바늘"
"Mausoleum";"대릉"
"Maximum Magnitude to Label: ";"이름표가 붙는 최대 등급: "
"Maximum Nebula Magnitude to Label: ";"성운에 이름표 붙는 최대 등급: "
"Meadows";"천균"
"Mebsuta";""
"Megrez";""
"Meissa";""
"Mekbuda";""
"Menkalinan";""
"Menkar";""
"Menkent";""
"Menkib";""
"Mensa";"테이블산"
"Merak";""
"Mercury";"수성"
"Merga";""
"Merging Galaxies";""
"Meridian";""
"Meridian Line";"자오선"
"Merope";""
"Mesarthim";""
"Meteor Rate per minute";"분당 유성 빈도수"
"Metis";""
"Miaplacidus";""
"Microscopium";"현미경"
"Milky Way intensity: ";"은하수 농도: "
"Mimas";"미마스"
"Mimosa";""
"Mintaka";""
"Minutes";"분"
"Mira";""
"Mirach";""
"Miranda";""
"Mirphak";""
"Mirzam";""
"Miscellaneous:";""
"Mizar";""
"Mly";""
"Mole_Honua";""
"Monoceros";"외뿔소"
"Month";"월"
"Moon";"달"
"Moon Scale";"달 확대"
"Moons";""
"Mooring Post";"계선주"
"Morning Star";""
"Mortar";"내저"
"Mothallah";""
"Movement and Selection:";""
"Mrgsirsa";""
"Mrigsirsa";""
"Mula";""
"Muliphein";""
"Muphrid";""
"Musca";"파리"
"Muscida";""
"N";"북"
"NGC1275 PerseusA";""
"NGC253";""
"NGC6946";""
"NOV";"11월"
"Naiad";""
"Nana-hope";""
"Nana-mua";""
"Naos";""
"Nashira";""
"Navajo";""
"Navigator's Triangle";"항해자의 삼각자"
"Nebula Circles";"성운 범위"
"Nebula Labels";""
"Nebula Labels. Up to mag :";""
"Neck";"항"
"Nekkar";""
"Neptune";"해왕성"
"Neried";""
"Neso";""
"Net";"그물"
"Nihal";""
"No";"아니오"
"Norma";"직각자"
"Norse";""
"North River";"북하"
"Northern Dipper";"북두"
"Nunki";""
"Nusakan";""
"OCT";"10월"
"OK";"선택"
"Oberon";""
"Object Search";"천체 찾기"
"Object Sizing Rule: ";"천체 크기 자(尺): "
"Octans";"팔분의"
"Omega Centauri";""
"Ophelia";""
"Ophiuchus";"땅군"
"Orchard";"천원"
"Orion";"오리온"
"Outer Fence";"천병"
"Ox";"견우"
"Pack of Dogs";""
"Page Down";""
"Page Up";""
"Pair of Stars";"한 쌍의 별"
"Palace Gate";"궐구"
"Pan View";""
"Pasiphae";""
"Password must be more than 3 characters";""
"Password updated successfully";""
"Passwords do not match";""
"Pause Script";""
"Pause Time";""
"Pavo";"공작"
"Peacock";""
"Pegasus";"페가수스"
"Pencil Nebula";""
"Perdita";""
"Perseus";"페르세우스"
"Pestle";"구"
"Phact";""
"Phad";""
"Pherkad";""
"Phobos";"포보스"
"Phoenix";"봉황"
"Pictor";"화가"
"Pisces";"물고기"
"Piscis Austrinus";"남쪽물고기"
"Planet Size Marginal Limit: ";""
"Planetary Nebula Aquila";""
"Planets";"행성들"
"Planets: ";"행성들"
"Play demo script";""
"Pleione";""
"Pluto";"명왕성"
"Point";"기점"
"Polaris";""
"Pollux";""
"Polynesian";"폴리네시아"
"Porrima";""
"Portia";""
"Prajapati";""
"Precession Circle";""
"Preset Sky Time: ";"하늘 시간 미리 설정: "
"Preset Time";"예정 시간"
"Procyon";""
"Program Language: ";"프로그램 언어: "
"Projection :";"투영 :"
"Projection Configuration: ";""
"Projector Offset (percent of dome radius): ";""
"Propus";""
"Prospero";""
"Proteus";""
"Prow";"이물"
"Proxima";""
"Psamathe";""
"Pu'uhonua";""
"Puana";""
"Puana-kau";""
"Puck";""
"Pulaha";""
"Pulastya";""
"Punarsvasu-2";""
"Punarvasu";""
"Punarvasu-1";""
"Punarvasu-2";""
"Puppis";"고물"
"Purple Palace";"자미"
"Purva Bhadrapad-1";""
"Purva Bhadrapad-2";""
"Purvabhadrapad";""
"Purvaphalguni";""
"Purvaphalguni-1";""
"Purvaphalguni-2";""
"Purvasadha-1";""
"Purvasdha";""
"Pushya";""
"Pyxis";"나침반"
"Quail";"미"
"Quit";""
"Quit [CMD + Q]";"종료 [CMD + Q]"
"Quit [CTRL + Q]";"종료 [CTRL + Q]"
"RA/DE: ";"적경/적위 : "
"Rabbit Tracks";""
"Race Track";""
"Ramparts";"천루성"
"Rasalas";""
"Rasalgethi";""
"Rasalhague";""
"Rastaban";""
"Re-enter password: ";""
"Real Time Rate";""
"Recording commands to script file:\n";"명령들을 스크립트 파일로 저장합니다:\n"
"Red Rectangle";""
"Reflection Nebula Orion";""
"Regor";""
"Regulus";""
"Rendering";"렌더링"
"Replay Last Script";""
"Reset Password: ";""
"Restart program for";"변경사항이 적용되려면"
"Resume Script";""
"Reticulum";"그물"
"Retina Nebula";""
"Return to Current Time";"현재 시간으로 되돌아오기"
"Revati";""
"Revolving Female";""
"Revolving Male";""
"Rhea";"레아"
"Rigel";""
"Right Click";""
"Right Flag";"우기"
"Rigil Kent";""
"Ring Nebula";""
"River Turtle";"별"
"Rohini";""
"Rolled Tongue";"권설"
"Rooftop";"위"
"Room";"방"
"Root";"저"
"Rosalind";""
"Rosetta Nebula";""
"Rotanev";""
"Rotten Gourd";"패과"
"Ruchbah";""
"Rukbat";""
"Runners";""
"S";"남"
"SEP";"9월"
"SN Remnant HH30";""
"Sabik";""
"Sadachbia";""
"Sadalbari";""
"Sadalmelik";""
"Sadalsuud";""
"Sadr";""
"Sagitta";"화살"
"Sagittarius";"궁수"
"Saiph";""
"Salamander";""
"Sami";""
"Sao";""
"Sapt Rishi";""
"Sarva the Elk";""
"Satbhisaj";""
"Satellite Orbits";""
"Saturn";"토성"
"Save Current Configuration as Default: ";"현재 설정을 기본설정으로 저장: "
"Save as default";"기본설정으로 저장"
"Save location";"위치 저장"
"Scorpius";"전갈"
"Screen";"병"
"Screen Resolution :";"스크린 해상도 :"
"Script Command";""
"Script commander";"스크립트 명령어"
"Scripts ";"스크립트 "
"Sculptor";"조각가"
"Scutum";"방패"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"찾기 (예를 들면, Saturn, Polaris, HP 6128, Orion, M31):"
"Search for Object";""
"Seconds";"초"
"Seginus";""
"Select Object";""
"Select and exit to run.";"운용을 위해 선택 후 종료"
"Selected : ";"선택 : "
"Selected Constellation Only";"선택된 별자리만"
"Selkis";"셀키스"
"Serpens";"뱀"
"Set Location ";"위치 설정 "
"Set Time ";"시간 설정 "
"Set Time Zone: ";"시간대 설정 "
"Set UI Locale: ";"UI 위치 설정: "
"Setebos";""
"Seven Excellencies";"칠공"
"Seven Little Girls";""
"Sextans";"육분의"
"Sham";""
"Shaula";""
"Sheat";""
"Shedir";""
"Sheep";"양"
"Sheepfold";"양 우리"
"Sheliak";""
"Sheratan";""
"Show: ";"보이기: "
"Shows: ";"보이기: "
"Shravan";""
"Shut Down: ";"끄기 "
"Shwan";""
"Sidereal";""
"Sinope";""
"Sirius";""
"Situla";""
"Size: ";"크기: "
"Skat";""
"Sky Culture: ";"하늘 문화: "
"Sky Language: ";"하늘 언어: "
"Sky Support";""
"Sky Time At Start-up: ";"시작시 하늘 시간 적용: "
"Sky Time: ";"하늘 시간: "
"Small Solar System Bodies";""
"Snake";""
"Solar System Body: ";"태양계 천체: "
"Solar System Observer";"태양계 관측자"
"Soldiers Market";"군시"
"South River";"남하"
"South star";""
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";"천창"
"Spectral Type: ";"스펙트럼형: "
"Spica";""
"Spiral Galaxy Coma";""
"Spiral Galaxy Leo";""
"Spirograph Nebula";""
"Spring";"천연"
"Square Granary";"천창"
"Sravan";""
"Star";"성"
"Star Labels";""
"Star Labels. Up to mag :";""
"Star Size Limit: ";""
"Star Twinkle. Amount :";"별 반짝임 정도 :"
"Star Value Multiplier: ";""
"Stars";"별"
"Stars ";"별 "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"물의 별"
"Stephano";""
"Stomach";"위"
"Stop Time";""
"Sualocin";""
"Subra";""
"Suhail";""
"Sulafat";""
"Sun";"태양"
"Supernova Remnant";""
"Supreme Palace";"태미"
"Swati";""
"Sycorax";""
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";""
"Tail";"미"
"Take Screenshot";""
"Talitha";""
"Tania Australis";""
"Tania Borealis";""
"Tarantula Nebula";""
"Tarazed";""
"Taurus";"황소"
"Taygeta";""
"Tegmine";""
"Tejat";""
"Telescopium";"망원경"
"Tethys";"테티스"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";""
"The Fishermen";""
"The Garnet Star";""
"The One Behind";""
"The Runner";""
"The Seven";"칠공"
"The Ski Runners";""
"Thebe";""
"Three Stars";"삼"
"Three Steps";"삼태"
"Thuban";""
"Thunder and Lightning";"뇌전"
"Thunderbird";""
"Thunderbolt";"뇌전"
"Time Display Format: ";"시간 표시 형식: "
"Time Zone :";"시간대 :"
"Time and Date:";""
"Time speed : ";"시간 속도 : "
"Titan";"타이탄"
"Titania";""
"Toad";"황새치"
"Toggle Moon Scaling";""
"Toggle Script Recording";""
"Toggle Video Frame Recording";""
"Toggle fullscreen if possible.";""
"Toilet";"측"
"Track Selected Object";""
"Triangle";"삼각형"
"Triangulum";"삼각형"
"Triangulum Australe";"남쪽삼각형"
"Trinculo";""
"Tripod";"삼공"
"Triton";""
"Tropic Lines";""
"Truncated Projection";""
"Try `%s --help' for more information.\n";"%s 더 자세한 설명을 원하시면 --help 를 입력하세요.\n"
"Tucana";"큰부리새"
"Turtle";""
"Twinkling: ";"깜박임: "
"Two Jaws";"두 개의 턱"
"Two Placed Far Apart";""
"Two Poles";"두 개의 막대"
"Two Sunbeams";""
"Two in Front";""
"Type: ";"형태: "
"USB Script: ";""
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"이 프로그램 인터넷으로 업데이트: "
"Uranus";"천왕성"
"Ursa Major";"큰곰"
"Ursa Minor";"작은곰"
"Using System Default Time Zone";"시스템에 설정된 시간대 사용"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";""
"Van Maanen 2";""
"Vashista";""
"Vega";""
"Vela";"돛"
"Venus";"금성"
"Video";"비디오"
"Video Offset: ";""
"Video Shear: ";""
"Vindemiatrix";""
"Virgo";"처녀"
"Vishakha";""
"Voice of Joy";"즐거운 소리"
"Volans";"날치"
"Vulpecula";"여우"
"W";"서"
