"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"Leeuw"
"Leo Minor";"Kleine Leeuw"
"Lepus";"Haas"
"Lesath";""
"Libra";"Weegschaal"
"Light Pollution Limiting Magnitude: ";""
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"Leeuw"
"Little Ghost Nebula";""
"Lizard";""
"Load Default Configuration";""
"Load Default Configuration: ";"Laad standaard configuratie: "
"Loading NGC catalog: ";"Laden NGC sterrencatalogus: "
"Loading Nebula Textures:";"Laden neveldata:"
"Loading Solar System:";"Hemellichaam zonnestelsel: "
"Loading catalog ";"Laden NGC sterrencatalogus: "
"Local Script: ";"Lokaal script: "
"Location";"Locatie"
"Longitude : ";"Lengtegraad: "
"Longitude: ";"Lengtegraad: "
"Lubhdak";""
"Lupus";"Wolf"
"Luyten's Star";""
"Lyra";"Lier"
"Lysithea";""
"M1";""
"M10";""
"M100";""
"M101";""
"M104 Sombrero Galaxy";""
"M105";""
"M106";""
"M108";""
"M109";""
"M11";""
"M12";""
"M13";""
"M15";""
"M16";""
"M17";""
"M2";""
"M20";""
"M22";""
"M27";""
"M3";""
"M31";""
"M33";""
"M34";""
"M36";""
"M37";""
"M38";""
"M4";""
"M42/M43";""
"M44";""
"M45";""
"M46";""
"M49";""
"M5";""
"M51";""
"M53";""
"M54";""
"M58";""
"M59";""
"M6";""
"M60";""
"M61";""
"M63";""
"M64 Black Eye Galaxy";""
"M65";""
"M66";""
"M7";""
"M74";""
"M76";""
"M78";""
"M8";""
"M81";""
"M82";""
"M83";""
"M84";""
"M85";""
"M86";""
"M87";""
"M89";""
"M9";""
"M90";""
"M91";""
"M92";""
"M94";""
"M95";""
"M96";""
"M97";""
"M98";""
"M99";""
"MAR";"MRT"
"MAY";"MEI"
"Maasym";""
"Mab";""
"Magha";""
"Magnitude Scaling Multiplier: ";""
"Maia";""
"Mama Llama";""
"Man with Feet Apart";""
"Man's Cart";""
"Manual zoom: ";"Handmatig zoomen: "
"Marfik";""
"Margaret";""
"Marichi";""
"Markab";""
"Market";"Markt"
"Market Officer";"Marktopzichter"
"Marsic";""
"Matar";""
"Maui's Fishhook";"Maui's vishaak"
"Maximum Magnitude to Label: ";"Maximum te labelen magnitude: "
"Maximum Nebula Magnitude to Label: ";"Maximum te labelen magnitude nevel: "
"Meadows";"Weiden"
"Mebsuta";""
"Megrez";""
"Meissa";""
"Mekbuda";""
"Menkalinan";""
"Menkar";""
"Menkent";""
"Menkib";""
"Mensa";"Tafelberg"
"Merak";""
"Mercury";"Mercurius"
"Merga";""
"Merging Galaxies";""
"Meridian";""
"Meridian Line";"Meridiaancirkel"
"Merope";""
"Mesarthim";""
"Meteor Rate per minute";"Aantal meteorieten per minuut"
"Metis";""
"Miaplacidus";""
"Microscopium";"Microscoop"
"Milky Way intensity: ";"Intensiteit melkweg: "
"Mimosa";""
"Mintaka";""
"Minutes";"Minuten"
"Mira";""
"Mirach";""
"Miranda";""
"Mirphak";""
"Mirzam";""
"Miscellaneous:";""
"Mizar";""
"Mly";""
"Mole_Honua";""
"Monoceros";"Eenhoorn"
"Month";"Maand"
"Moon";"Maan"
"Moon Scale";"Grootte maan"
"Moons";""
"Mooring Post";"Meerpaal"
"Morning Star";""
"Mortar";"Vijzel"
"Mothallah";""
"Movement and Selection:";""
"Mrgsirsa";""
"Mrigsirsa";""
"Mula";""
"Muliphein";""
"Muphrid";""
"Musca";"Vlieg"
"Muscida";""
"NGC1275 PerseusA";""
"NGC253";""
"NGC6946";""
"Naiad";""
"Nana-hope";""
"Nana-mua";""
"Naos";""
"Nashira";""
"Navajo";""
"Navigator's Triangle";"Zeevaardersdriehoek"
"Nebula Circles";"Cirkels Nevels"
"Nebula Labels";""
"Nebula Labels. Up to mag :";""
"Neck";"Nek"
"Nekkar";""
"Neptune";"Neptunus"
"Neried";""
"Neso";""
"Nihal";""
"No";"Nee"
"Norma";"Winkelhaak"
"Norse";""
"North River";"Noordelijke Rivier"
"Northern Dipper";"Noordelijke Steelpan"
"Nunki";""
"Nusakan";""
"Oberon";""
"Object Search";"Object zoeken"
"Object Sizing Rule: ";"Weergave objectgrootte: "
"Octans";"Octant"
"Omega Centauri";""
"Ophelia";""
"Ophiuchus";"Slangendrager"
"Orchard";"Boomgaard"
"Outer Fence";"Buitenste Hek"
"Ox";"Os"
"Pack of Dogs";""
"Page Down";""
"Page Up";""
"Pair of Stars";"Paar Sterren"
"Palace Gate";"Paleispoort"
"Pan View";""
"Pasiphae";""
"Password must be more than 3 characters";""
"Password updated successfully";""
"Passwords do not match";""
"Pause Script";""
"Pause Time";""
"Pavo";"Pauw"
"Peacock";""
"Pencil Nebula";""
"Perdita";""
"Pestle";"Stamper"
"Phact";""
"Phad";""
"Pherkad";""
"Phoenix";"Feniks"
"Pictor";"Schilder"
"Pisces";"Vissen"
"Piscis Austrinus";"Zuidervis"
"Planet Size Marginal Limit: ";""
"Planetary Nebula Aquila";""
"Planets";"Planeten"
"Planets: ";"Planeten"
"Play demo script";""
"Pleione";""
"Point";"Punt"
"Polaris";""
"Pollux";""
"Polynesian";"Polynesisch"
"Porrima";""
"Portia";""
"Prajapati";""
"Precession Circle";""
"Preset Sky Time: ";"Vooraf ingestelde hemeltijd: "
"Preset Time";"Vooringestelde Tijd"
"Procyon";""
"Program Language: ";"Taal van het programma: "
"Projection :";"Projectie :"
"Projection Configuration: ";""
"Projector Offset (percent of dome radius): ";""
"Propus";""
"Prospero";""
"Proteus";""
"Prow";"Voorsteven"
"Proxima";""
"Psamathe";""
"Pu'uhonua";""
"Puana";""
"Puana-kau";""
"Puck";""
"Pulaha";""
"Pulastya";""
"Punarsvasu-2";""
"Punarvasu";""
"Punarvasu-1";""
"Punarvasu-2";""
"Puppis";"Achtersteven"
"Purple Palace";"Paarse paleis"
"Purva Bhadrapad-1";""
"Purva Bhadrapad-2";""
"Purvabhadrapad";""
"Purvaphalguni";""
"Purvaphalguni-1";""
"Purvaphalguni-2";""
"Purvasadha-1";""
"Purvasdha";""
"Pushya";""
"Pyxis";"Kompas"
"Quail";"Staart"
"Quit";""
"Quit [CMD + Q]";"Afsluiten [CMD + Q]"
"Quit [CTRL + Q]";"Afsluiten [CTRL + Q]"
"RA/DE: ";"RK/DE: "
"Rabbit Tracks";""
"Race Track";""
"Ramparts";"Omwallingen"
"Rasalas";""
"Rasalgethi";""
"Rasalhague";""
"Rastaban";""
"Re-enter password: ";""
