"%s: Bad command line argument(s)\n";"%s: Ugyldig(e) kommandolinjeargument\n"
"Earth";"Jorda"
"Earth God's Temple";"Tempelet til jordguden"
"Eastern Door";"Austre dør"
"Ecliptic Line";"Ekliptisk line"
"Edasich";""
"Effects ";"Effekter "
"Egg Nebula";""
"Egyptian";"Egyptisk"
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"Innhaldslaust"
"Encampment";"Leirstad"
"End Script";"Skript "
"Enif";""
"Enter observatory name";"Angje namn på observatorium"
"Equator Line";"Ekvatorline"
"Equatorial Grid";"Sylinderprojisert rutenett"
"Equatorial/Altazimuthal Mount";"Sylinder-/planprojisert vising [Enter]"
"Equatorial/altazimuthal mount";"Sylinder-/planprojisert vising [Enter]"
"Equuleus";"Den lille hest (føllet)"
"Eridanus";"Floden"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";"Feil: Klarte ikkje å opna skriptfila for å registrera kommandoar."
"Establishment";"Anlegg"
"Etamin";""
"Extended Net";"Utvida nett"
"FEB";""
"Face On Galaxy";""
"Farmland";"Bondeland"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Båtferje"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Fem vogner"
"Five Feudal Kings";"Fem føydalkongar"
"Flail";"Treske"
"Flight Duration: ";"Steg for zoom: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Flokk"
"Flying Corridor";"Fluktveg"
"Fog";"Tåke"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"For andre skjermoppløysingar, rediger fila:"
"Ford";"Vadestad"
"Fornax";"Smelteomnen"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Fire kanalar"
"Fox";"Tåke"
"Francisco";""
"Frigate Bird";"Fregattfugl"
"Furud";""
"GO";"Søk"
"Gacrux";""
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
"Galla";""
"Galla's Sons";""
"Ganymede";"Ganymedes"
"Gemini";"Tvillingane"
"General ";"Generelt "
"Ghosts";"Spøkjelse"
"Giant";"Kjempe"
"Giausar";""
"Gienah";""
"Girl";"Jente"
"Girtab";""
