"%s: Bad command line argument(s)\n";"%s: Nesprávne argumenty príkazu\n"
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";""
"Hook";"Hák"
"Horn";"Roh"
"Horologium";"Hodiny"
"Hour";"hodina"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydrus";"Vodný had"
"IC434 & Horse Head Nebula";"IC434 & Hmlovina Konská hlava"
"Imperial Guards";"Cisárska stráž"
"Imperial Passageway";"Cisárska cestička"
"Increase Time Rate";""
"Indus";"Indián"
"Information";"Informácie"
"Interacting Galaxies";"Interakcie galaxií"
"Internal Script: ";"Interny skript: "
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"Nesprávny skriptovací príkaz"
"Izar";""
"Jade Well";"Jadeitový prameň"
"Jaw";"Čelusť"
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Ryba Khanuwy"
"Kitalpha";""
"Kitchen";"Kuchyňa"
"Kite of Kawelo";"Kawelov šarkan"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Jašterica"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";"Stojan pre lampu"
"Lance";"Kopija"
"Landscape: ";"Terén: "
"Landscapes";"Terén"
"Language";"Jazyk"
"Laomedeia";""
"Latitude : ";"Zem.  šírka : "
"Latitude: ";"Zemepisná šírka: "
"Leda";""
"Left Click";""
"Left Flag";"Ľavá vlajka"
"Legs";"Nohy"
"Lehua-Kona";""
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"Lev"
"Leo Minor";"Malý lev"
"Lepus";"Zajac"
"Lesath";""
"Libra";"Váhy"
"Light Pollution Limiting Magnitude: ";"Jas svetelneho znečistenia: "
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"Lev"
"Little Ghost Nebula";"Hmlovina Malý duch"
"Lizard";"Jašterica"
"Load Default Configuration";""
"Load Default Configuration: ";"Nahraj pôvodné nastavenie: "
"Loading NGC catalog: ";"Nahrávam katalóg NGC: "
"Loading Nebula Textures:";"Nahrávam textúry hmlovín:"
"Loading Solar System:";"Teleso Slnečnej sústavy: "
"Loading catalog ";"Nahrávam katalóg NGC: "
"Local Script: ";"Lokálny Skript: "
"Location";"Umiestnenie"
"Longitude : ";"Zem. dĺžka : "
"Longitude: ";"Zemepisná dĺžka: "
"Lubhdak";""
"Lupus";"Vlk"
"Luyten's Star";""
"Lynx";"Rys"
"Lyra";"Lýra"
"Lysithea";""
"M100";""
"M104 Sombrero Galaxy";""
"M31";""
"M42/M43";""
"M45";""
"M61";""
"M64 Black Eye Galaxy";"M64 Galaxia Čierne oko"
"MAY";"MAJ"
"Maasym";""
"Mab";""
"Magha";""
"Magnitude";"Magnitúda"
"Magnitude Scaling Multiplier: ";""
"Magnitude: ";"Magnitúda: "
"Maia";""
"Mama Llama";""
"Man with Feet Apart";"Človek s roztiahnutými nohami"
"Man's Cart";"Mužský kočiar"
"Manual zoom: ";"Ručné zväčšenie: "
"Marfik";""
"Margaret";""
"Marichi";""
"Markab";""
"Market";"Tržnica"
"Market Officer";"Vedúci tržnice"
"Marsic";""
"Matar";""
"Maui's Fishhook";"Mauiho udica"
"Mausoleum";"Mauzóleum"
"Maximum Magnitude to Label: ";"Popisky iba do magnitúdy: "
"Maximum Nebula Magnitude to Label: ";"Popisky hmlovín iba do magnitúdy: "
"Meadows";"Lúky"
"Mebsuta";""
"Megrez";""
"Meissa";""
"Mekbuda";""
"Menkalinan";""
"Menkar";""
"Menkent";""
"Menkib";""
"Mensa";"Stolový vrch"
"Merak";""
"Mercury";"Merkúr"
"Merga";""
"Merging Galaxies";"Zlúčené galaxie"
"Meridian";""
"Meridian Line";"Poludník"
"Merope";""
"Mesarthim";""
"Meteor Rate per minute";"Počet meteorov/min."
"Metis";""
"Miaplacidus";""
"Microscopium";"Mikroskop"
"Milky Way intensity: ";"Intenzita Mliečnej dráhy "
"Mimosa";""
"Mintaka";""
"Minutes";"minúty"
