"%s: Bad command line argument(s)\n";"%s: Argumen perintah salah\n"
"Blubber Container";"Wadah lemak ikan Paus"
"Boat";"Perahu"
"Bodies";"Bootes"
"Body Labels";"Bintang-bintang"
"Body Orbits";""
"Body Trails";""
"Bond";"Jaminan"
"Botein";"Bootes"
"Bow and Arrow";"Busur dan panah"
"Brahamhridya";""
"Breastbone";"Tulang dada"
"Bull's Foreleg";"Kaki depan banteng"
"CTRL + Left Click";""
"Calendar";"Kalender"
"Caliban";"Carina"
"California Nebula";""
"Campbell's Star";""
"Cancel";"Batal"
"Canopus";"Uranus"
"Capella";"Caelum"
"Caph";""
"Cardinal Points";"Titik Arah Mata Angin"
"Cared for by Moon";"Memperhatikan rembulan"
"Caribou";"Kijang besar"
"Carme";""
"Cassiopeia A";"Cassiopeia"
"Castor";"Callisto"
"Cat's Cradle";"Ayunan kucing"
"Cebalrai";""
"Celaeno";""
"Center on selected object";"Lompat ke objek yang dipilih [SPACE]"
"Ceres";"Cepheus"
"Chara";"Charon"
"Chariot";"Kereta kuda"
"Chariot Yard";"Kereta perang di halaman"
"Chertan";"Charon"
"Chi & h Per";""
"Chinese";"Bahasa Mandarin"
"Chitra";"Kereta kuda"
"Choose landscapes:";"Pilih pemandangan:"
"Circular Granary";"Gudang berbentuk bundar"
"Circumpolar Circle";"Lingkaran Nebula"
"Clouds";"Corvus"
"Coiled Thong";"Gulungan tali kulit"
"Collarbones";"Tulang selangka"
"Colors ";"Warna-warna "
"Comets";"Cetus"
"Command recording stopped.";"Perekaman perintah terhenti."
"Configuration";"Konfigurasi"
"Constellation Art";"Seni Rasi Bintang [R]"
"Constellation Art Intensity";"Intensitas Seni konstelasi"
"Constellation Boundaries";"Batas Konstelasi"
"Constellation Labels";"Nama Konstelasi"
"Constellation Lines";"Garis Konstelasi"
"Cor Caroli";""
"Cordelia";""
"Correct for light travel time: ";""
"Crocodile";"Buaya"
"Cujam";""
"Cupid";""
"Current Time :";"Waktu sekarang :"
"Current Time Speed is x";"Kecepatan Waktu saat ini adalah x"
"Cursa";"Cetus"
"Cursor : ";"Kursor : "
"Cursor Timeout: ";"Kursor Timeout: "
"Curved Array";"Deretan melengkung"
"Cycle through meteor shower rates";""
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Tanggal & Waktu"
"Date Display Format: ";"Format Tampilan Tanggal: "
"Day";"Hari"
"Day keys: ";"Kunci hari: "
"Day star";""
