"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
"Equatorial/altazimuthal mount";"Ekvatoriālais/Azimutālais montējums [ENTER]"
"Equuleus";"Mazais Zirgs"
"Eridanus";"Eridāna"
"Eris";"Auns"
"Errai";""
"Error: Unable to open script file to record commands.";"Kļūda: Nevarēja atvērt skripta failu komandu ierakstīšanai."
"Establishment";"Uzņēmums"
"Etamin";""
"Europa";"Eiropa"
"Extended Net";"Garais Tīkls"
"FEB";""
"Face On Galaxy";""
"Farmland";"Aramzeme"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";"Loks un Bulta"
"Ferdinand";"Meridiāna līnija"
"Ferry Boat";"Pārcēlājs"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Piecas Karietes"
"Five Feudal Kings";"Pieci Karaļi"
"Flail";"Sprigulis"
"Flight Duration: ";"Tuvinājuma ilgums: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Ganāmpulks"
"Flying Corridor";"Lidojošais gaitenis"
"Fog";"Dūmaka"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Lai iegūtu citu izšķirtspēju rediģējiet failu :"
"Ford";"Brasls"
"Fornax";"Krāsns"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Četri Kanāli"
"Fox";"Dūmaka"
"Francisco";""
"Frigate Bird";"Fregatputns"
"Furud";"Brasls"
"GO";"Izpildīt"
"Gacrux";"Krusts"
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
"Galla";"Siena"
"Galla's Sons";""
"Ganymede";"Ganimēds"
"Gemini";"Dvīņi"
"General ";"Vispārīgi "
"Ghosts";"Spoki"
"Giant";"Milzis"
"Giausar";""
"Gienah";""
"Girl";"Meitene"
"Girtab";"Meitene"
"Globular Cluster Ara";""
"Go to Selected Body";"Parādīt izvēlēto objektu [SPACE]"
"Gomeisa";""
"Good Gourd";"Svaigais Ķirbis"
"Great General";"Lielais Ģenerālis"
"Ground";"Apvārsnis"
"Grumium";""
"Grus";"Dzērve"
"Guide star";""
"H II LMC";""
"Hadar";"Hidra"
"Halimede";"Ganimēds"
"Hamal";""
"Hand";""
"Hasta";"Sirds"
"Hawaiki";""
"Heading: ";""
"Heart";"Sirds"
"Help";"Palīdzība"
"Hercules";"Herkuless"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Himalia";"Sūknis"
"Hindu";"Indiānis"
"Hippopotamus";"Nīlzirgs"
"Hit CTRL-R again to stop.\n";"Nospiediet CTRL-R vēlreiz lai apturētu.\n"
"Hoku'ula";""
"Hokule'a";""
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";"Rags"
"Hook";"Āķis"
"Horn";"Rags"
"Horologium";"Pulkstenis"
"Horus";"Hors"
"Hour";"Stunda"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydra";"Hidra"
"Hydrus";"Dienvidu Hidra"
"Hyperion";"Hiperions"
"IC434 & Horse Head Nebula";""
"Iapetus";"Japets"
"Imperial Guards";"Imperiālie sargi"
"Imperial Passageway";"Imperatora Eja"
"Increase Time Rate";"Paātrināt laiku [L]"
"Indus";"Indiānis"
"Information";"Informācija"
"Interacting Galaxies";""
"Internal Script: ";"Lokālais skripts: "
"Inuit";"Indiānis"
"Inuit (color)";""
"Invalid Script command";"Nepareiza skripta komanda"
"Io";"Jo"
"Izar";""
"JAN";""
"JUL";""
"JUN";""
"Jade Well";"Nefrīta Aka"
"Jaw";"Žoklis"
"Juliet";"Jupiters"
"Jupiter";"Jupiters"
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";"Vērsis"
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";"Dienvidu Vainags"
"Kaus Borealis";"Ziemeļu Vainags"
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Kenemet";"Kenemeta"
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Kanuvī Zivs"
"Kitalpha";""
"Kitchen";"Virtuve"
"Kite of Kawelo";"Kawelo Pūķis"
"Kocab";""
"Kornephoros";"Vienradzis"
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";"Meklēt objektu"
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Ķirzaka"
"Laghu Saptrishi";""
"Lakota";"Ķirzaka"
