"%s: Bad command line argument(s)\n";"%s: Linia de comandă conține comenzi greșite.\n"
"Imperial Passageway";"Pasajul Imperial"
"Increase Time Rate";""
"Indus";"Indianul"
"Info: ";""
"Information";"Informații"
"Interacting Galaxies";""
"Internal Script: ";""
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"Comandă greșită în script"
"Izar";""
"JAN";""
"JUL";""
"JUN";""
"Jade Well";"Fântâna de Jad"
"Jaw";"Falca"
"Juliet";""
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Peștele Khanuwy"
"Kitalpha";""
"Kitchen";"Bucătăria"
"Kite of Kawelo";"Zmeul lui Kawelo"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Șopârla"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";""
"Lance";"Lancea"
"Landscape: ";"Peisaj: "
"Landscapes";"Peisaje"
"Language";"Limba"
"Laomedeia";""
"Larissa";""
"Latitude : ";"Latitudine : "
"Latitude: ";"Latitudine : "
"Leda";""
"Left Click";""
"Left Flag";"Steagul Stâng"
"Legs";"Picioarele"
"Lehua-Kona";""
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"Leul"
"Leo Minor";"Leul Mic"
"Lepus";"Iepurele"
"Lesath";""
"Libra";"Balanța"
"Light Pollution Limiting Magnitude: ";""
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"Leul"
"Little Ghost Nebula";""
"Lizard";""
"Load Default Configuration";""
"Load Default Configuration: ";"Încărcare a configurației implicite : "
"Loading NGC catalog: ";"Încarc catalogul NGC: "
"Loading Nebula Textures:";"Se încarcă texturile pentru nebuloase:"
"Loading Solar System:";"Corp al Sistemului Solar: "
"Loading catalog ";"Încarc catalogul NGC: "
"Local Script: ";"Script local : "
"Location";"Locația"
"Longitude : ";"Longitudine : "
"Longitude: ";"Longitudine : "
"Lubhdak";""
"Lupus";"Lupul"
"Luyten's Star";""
"Lynx";"Linxul"
"Lyra";"Lira"
"Lysithea";""
"M1";""
"M10";""
"M100";""
"M101";""
"M104 Sombrero Galaxy";""
"M105";""
"M106";""
"M108";""
"M109";""
"M11";""
"M12";""
"M13";""
"M15";""
"M16";""
"M17";""
"M2";""
"M20";""
"M22";""
"M27";""
"M3";""
"M31";""
"M33";""
"M34";""
"M36";""
"M37";""
"M38";""
"M4";""
"M42/M43";""
"M44";""
"M45";""
"M46";""
"M49";""
"M5";""
"M51";""
"M53";""
"M54";""
"M58";""
"M59";""
"M6";""
"M60";""
"M61";""
"M63";""
"M64 Black Eye Galaxy";""
"M65";""
"M66";""
"M7";""
"M74";""
"M76";""
"M78";""
"M8";""
"M81";""
"M82";""
"M83";""
"M84";""
"M85";""
"M86";""
"M87";""
"M89";""
